name
Russian Blue
Balinese
Siberian
Singapura
Khao Manee
Cornish Rex
European Burmese
Cymric
Abyssinian
Australian Mist
British Longhair
British Shorthair
Egyptian Mau
Tonkinese
Japanese Bobtail
American Wirehair
Pixiebob
Himalayan
Birman
Somali
York Chocolate
Norwegian Forest
Colorpoint Shorthair
American Bobtail
Korat
Peterbald
Ocicat
Chinese Li Hua
Manx
Ragdoll
Javanese
Thai
Bombay
Sokoke
Turkish Van
Siamese
Persian
LaPerm
Selkirk Rex
Ragamuffin
Exotic Shorthair
Asian
Nebelung
Munchkin
Maine Coon
American Curl
Bengal
Chartreux
Burmilla
Snowshoe
Don Sphynx
Devon Rex
German Rex
Turkish Angora
Toyger
Kurilian Bobtail
Sphynx
Scottish Fold
Burmese
Savannah
Oriental
Havana Brown
American Shorthair
